[2026-08-07T10:46:34.279Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-08-07T10:46:34.282Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-08-07T10:46:34.282Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-08-07T10:46:34.283Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-08-07T10:46:34.283Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-08-07T10:46:34.283Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-08-07T10:46:34.284Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-08-07T10:46:34.286Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-08-07T10:46:34.286Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-08-07T10:46:34.292Z] [INFO] Daemon started (PID: 34716, CPUs: 44, workers: 7, maxCpuLoad: 35.2, minFreeMemoryPercent: 10%)
[2026-08-07T10:46:34.296Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-07T10:46:34.299Z] [INFO] Worker map completed in 5ms
[2026-08-07T10:48:34.295Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-07T10:48:34.297Z] [INFO] Worker audit completed in 4ms
[2026-08-07T10:50:34.286Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-08-07T10:50:34.288Z] [INFO] Worker optimize completed in 4ms
[2026-08-07T10:52:34.292Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-08-07T10:52:34.295Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-08-07T10:52:34.296Z] [INFO] Worker consolidate completed in 8ms
[2026-08-07T10:54:34.299Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-08-07T10:54:34.302Z] [INFO] Worker testgaps completed in 6ms
[2026-08-07T10:56:34.302Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-08-07T10:56:34.305Z] [INFO] Worker backup completed in 5ms
[2026-08-07T10:58:34.290Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-08-07T10:58:34.337Z] [INFO] Worker harness completed in 51ms
[2026-08-07T10:58:34.342Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-07T10:58:34.343Z] [INFO] Worker audit completed in 3ms
[2026-08-07T11:01:34.306Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-07T11:01:34.310Z] [INFO] Worker map completed in 7ms
[2026-08-07T11:05:34.302Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-08-07T11:05:34.304Z] [INFO] Worker optimize completed in 5ms
[2026-08-07T11:08:34.358Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-07T11:08:34.361Z] [INFO] Worker audit completed in 7ms
[2026-08-07T11:14:34.317Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-08-07T11:14:34.319Z] [INFO] Worker testgaps completed in 5ms
[2026-08-07T11:16:34.331Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-07T11:16:34.334Z] [INFO] Worker map completed in 7ms
[2026-08-07T11:18:34.370Z] [ERROR] Failed to save state: Error: ENOSPC: no space left on device, write
[2026-08-07T11:18:34.371Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-07T11:18:34.373Z] [INFO] Worker audit completed in 4ms
[2026-08-07T11:18:34.375Z] [ERROR] Failed to save state: Error: ENOSPC: no space left on device, write
[2026-08-07T11:20:34.319Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-08-07T11:20:34.321Z] [INFO] Worker optimize completed in 5ms
[2026-08-07T11:22:34.305Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-08-07T11:22:34.314Z] [INFO] Consolidate worker: distillation skipped (better-sqlite3 unavailable)
[2026-08-07T11:22:34.315Z] [INFO] Worker consolidate completed in 14ms
[2026-08-07T11:28:34.386Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-07T11:28:34.388Z] [INFO] Worker audit completed in 4ms
[2026-08-07T11:31:34.353Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-07T11:31:34.356Z] [INFO] Worker map completed in 7ms
